#OTUID	taxonomy	confidence
07e7d05e47dbb356292ee40d723e7958	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
080384b3da6d8db8f55cd67532f45fdc	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
0807ec8cca2c878c0ca05b79ac20a322	k__Metazoa;p__Arthropoda;c__Insecta	1.0
08154ffbd2ca5014f4b69acb903ed7e7	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
0816d190a004ae9eb5c9c6cb26202ca1	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.526
0820aa82ecc399d455d8a0af3f5c2eea	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
08254e36a899edce854674ab6f513006	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera	0.55
0843676964fa4ba1a7449bd7a03ff5d0	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera	0.55
086063b6f1b424148ec63a6e753715c2	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
08787bf31b33a531f2abe07e7ece2799	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
0893cddbb652eb7e7a851155ebb5e5d7	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
08ceacbffeb5e7139e785386095814af	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
08d56910f9ba9d2ec6c2f138d43f7c79	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
091820552f3ec0679458915dc6691c49	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
092b7b58c67eee5fa413f35bc1e1dc74	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
092dc6654d225e8b7ca4cae266bbdb6b	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
0948e3f0003922d7f4426b64abb51e48	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
094a907cca10369ecd1f7cdf091810f5	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
09518e7096c8faaf99efbca219790815	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0.55
096e3e09703ed26998cd7ab60d7bf976	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
099225d5e1d379456811d47b954f8f21	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
099a41b430fee7a8e47719870f66e7df	k__Metazoa;p__Arthropoda;c__Insecta	1.0
099f506c259eb03260cba4a274a63c57	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
099fed6ab4f6cf114320cf81afc7e849	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
09a63b30427557286fe1d217b7c21dcc	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
09ac549ede8fe9ed8060f450355d751d	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
09b5913dae4d268da2cb46756178f75d	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
09f0fbaf88c2785738d6b85304d7ba01	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
09f4e312fa72d51a0b25c48a33620eb5	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
09f8c4f831a43660fd360dfba9a47e2d	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
0a0c4e1c949acd73e9dae03276145d66	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
0a221a61c1fff98af3875828c726a40a	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
0a235ca1f82a6f2bdc38dfc1e99272a7	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0.55
0a2c7cd64ee892efd984815a6c74f7ad	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
0a5e86933acb5d80fed0334b1337c926	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
0a66534b0d12511db8ed8061fbfccc57	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
0a66e35b6931817a8426e1785d76b6d2	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
0a728356b3c7db7bfe2f25d90751b4e5	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
0a833444e8c547fd0b54080dcb714416	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
